"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes";"Sleep (hrs)";"Stress (1-10)";"Session Index"
"23";"2026-04-05 00:00:00";"Push";"5138";"Bench Press (Barbell)";"W";"60.0";"15";"";"";"";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Bench Press (Barbell)";"1";"95.0";"10";"6.6";"";"";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Bench Press (Barbell)";"Rest Timer";"";"";"";"";"113";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Bench Press (Barbell)";"2";"95.0";"11";"7.2";"";"";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Bench Press (Barbell)";"Rest Timer";"";"";"";"";"136";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Bench Press (Barbell)";"3";"95.0";"11";"7.8";"";"";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Bench Press (Barbell)";"Rest Timer";"";"";"";"";"128";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Bench Press (Barbell)";"4";"95.0";"8";"8.3";"";"";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Seated Overhead Press (Dumbbell)";"W";"17.5";"12";"";"";"";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Seated Overhead Press (Dumbbell)";"1";"30.0";"7";"6.7";"";"";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Seated Overhead Press (Dumbbell)";"Rest Timer";"";"";"";"";"135";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Seated Overhead Press (Dumbbell)";"2";"32.5";"7";"7.2";"";"";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Seated Overhead Press (Dumbbell)";"Rest Timer";"";"";"";"";"162";"";"";"7.8";"5.0";"0"
"23";"2026-04-05 00:00:00";"Push";"5138";"Seated Overhead Press (Dumbbell)";"3";"32.5";"6";"7.9";"";"";"";"";"7.8";"5.0";"0"
