"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"1";"2026-01-12 19:06:55";"Push";"6672";"Bench Press (Barbell)";"W";"40.0";"10";"";"";"";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Bench Press (Barbell)";"1";"60.0";"10";"";"";"";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Bench Press (Barbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Bench Press (Barbell)";"2";"70.0";"10";"";"";"";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Bench Press (Barbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Bench Press (Barbell)";"3";"80.0";"6";"";"";"";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Bench Press (Barbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Seated Overhead Press (Dumbbell)";"W";"16.0";"10";"";"";"";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Seated Overhead Press (Dumbbell)";"1";"22.0";"10";"";"";"";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Seated Overhead Press (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Seated Overhead Press (Dumbbell)";"2";"30.0";"8";"";"";"";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Seated Overhead Press (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Seated Overhead Press (Dumbbell)";"3";"30.0";"6";"";"";"";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Seated Overhead Press (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Incline Chest Press (Machine)";"1";"30.0";"10";"";"";"";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Incline Chest Press (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Incline Chest Press (Machine)";"2";"60.0";"11";"";"";"";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Incline Chest Press (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Incline Chest Press (Machine)";"3";"90.0";"7";"";"";"";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Incline Chest Press (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Incline Chest Press (Machine)";"4";"90.0";"8";"";"";"";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Incline Chest Press (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Lateral Raise (Cable)";"1";"5.0";"10";"";"";"";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Lateral Raise (Cable)";"Rest Timer";"";"";"";"";"120.0";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Lateral Raise (Cable)";"2";"10.0";"10";"";"";"";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Lateral Raise (Cable)";"Rest Timer";"";"";"";"";"120.0";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Lateral Raise (Cable)";"3";"15.0";"8";"";"";"";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Lateral Raise (Cable)";"Rest Timer";"";"";"";"";"120.0";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Lateral Raise (Cable)";"4";"20.0";"7";"";"";"";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Lateral Raise (Cable)";"Rest Timer";"";"";"";"";"120.0";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Skullcrusher (Dumbbell)";"F";"12.0";"7";"";"";"";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Skullcrusher (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Skullcrusher (Dumbbell)";"2";"12.0";"4";"";"";"";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Skullcrusher (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Skullcrusher (Dumbbell)";"3";"8.0";"6";"";"";"";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Skullcrusher (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Skullcrusher (Dumbbell)";"4";"8.0";"6";"";"";"";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Skullcrusher (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Triceps Extension";"W";"11.0";"10";"";"";"";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Triceps Extension";"1";"18.0";"12";"";"";"";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Triceps Extension";"Rest Timer";"";"";"";"";"120.0";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Triceps Extension";"2";"27.0";"7";"";"";"";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Triceps Extension";"Rest Timer";"";"";"";"";"120.0";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Triceps Extension";"3";"27.0";"7";"";"";"";"";""
"1";"2026-01-12 19:06:55";"Push";"6672";"Triceps Extension";"Rest Timer";"";"";"";"";"120.0";"";""
"2";"2026-01-15 19:42:18";"Pull";"3009";"Lat Pulldown (Cable)";"1";"15.0";"20";"";"";"";"";""
"2";"2026-01-15 19:42:18";"Pull";"3009";"Lat Pulldown (Cable)";"Rest Timer";"";"";"";"";"120.0";"";""
"2";"2026-01-15 19:42:18";"Pull";"3009";"Lat Pulldown (Cable)";"2";"30.0";"15";"";"";"";"";""
"2";"2026-01-15 19:42:18";"Pull";"3009";"Lat Pulldown (Cable)";"Rest Timer";"";"";"";"";"120.0";"";""
"2";"2026-01-15 19:42:18";"Pull";"3009";"Lat Pulldown (Cable)";"3";"45.0";"15";"";"";"";"";""
"2";"2026-01-15 19:42:18";"Pull";"3009";"Lat Pulldown (Cable)";"Rest Timer";"";"";"";"";"120.0";"";""
"2";"2026-01-15 19:42:18";"Pull";"3009";"Lat Pulldown (Cable)";"4";"50.0";"4";"";"";"";"";""
"2";"2026-01-15 19:42:18";"Pull";"3009";"Lat Pulldown (Cable)";"Rest Timer";"";"";"";"";"120.0";"";""
"2";"2026-01-15 19:42:18";"Pull";"3009";"Seated Row (Machine)";"1";"30.0";"13";"";"";"";"";""
"2";"2026-01-15 19:42:18";"Pull";"3009";"Seated Row (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"2";"2026-01-15 19:42:18";"Pull";"3009";"Seated Row (Machine)";"2";"40.0";"10";"";"";"";"";""
"2";"2026-01-15 19:42:18";"Pull";"3009";"Seated Row (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"2";"2026-01-15 19:42:18";"Pull";"3009";"Seated Row (Machine)";"3";"60.0";"7";"";"";"";"";""
"2";"2026-01-15 19:42:18";"Pull";"3009";"Seated Row (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"2";"2026-01-15 19:42:18";"Pull";"3009";"Seated Row (Machine)";"4";"0.0";"0";"";"";"";"";""
"2";"2026-01-15 19:42:18";"Pull";"3009";"Seated Row (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
